time,open,high,low,close,volume
1996-12-18,2.2765187900,2.7665516000,2.0793284100,2.7209329300,9944600
1996-12-19,2.6782574000,2.8783909200,2.5458161000,2.6046789000,6974950
1996-12-20,2.5575886600,2.6856152500,2.4428062000,2.5649465100,2719598
1996-12-23,2.5266856900,2.7062172300,2.4722376000,2.7003309500,3022769
1996-12-24,2.7224045000,2.8401301000,2.6135083200,2.7488927600,4858730
1996-12-25,2.7224045000,3.0240763500,2.6870868200,3.0240763500,3504356
1996-12-26,3.0461499000,3.1741764900,2.9446115700,3.0902970000,1991650
1996-12-27,3.1874206200,3.2080226000,3.0329057700,3.1197284000,2429939
1996-12-30,3.1197284000,3.4317012400,3.0902970000,3.4243433900,3358811
1996-12-31,3.3846110000,3.3846110000,3.1933069000,3.2742432500,1118640
1997-01-02,3.2933736600,3.3331060500,3.1859490500,3.2374540000,912470
1997-01-03,3.2668854000,3.2668854000,3.0755813000,3.2065510300,1481293
1997-01-06,3.2065510300,3.3389923300,3.0917685700,3.2506981300,2372391
1997-01-07,3.2374540000,3.4140424000,3.1491598000,3.3669521600,2523480
1997-01-08,3.3669521600,3.6127043500,3.3257482000,3.5862160900,3645037
1997-01-09,3.5950455100,3.5950455100,3.5023366000,3.5876876600,1784591
1997-01-10,3.5317680000,3.5832729500,3.4949787500,3.5729719600,590300
1997-01-13,3.5729719600,3.6789250000,3.5317680000,3.5906308000,1986555
1997-01-14,3.5876876600,3.5876876600,3.4876209000,3.5567846900,1081515
1997-01-15,3.5317680000,3.6053465000,3.5317680000,3.5773866700,569880
1997-01-16,3.5759151000,3.6053465000,3.5141091600,3.5906308000,614455
1997-01-17,3.5876876600,3.6053465000,3.5347111400,3.5788582400,523895
1997-01-20,3.5729719600,3.7642760600,3.5729719600,3.6627377300,673130
1997-01-21,3.6494936000,3.6906975600,3.5317680000,3.5464837000,573760
1997-01-22,3.5464837000,3.7510319300,3.5464837000,3.7377878000,3941459
1997-01-23,3.7642760600,3.9732390000,3.7642760600,3.9629380100,2746312
1997-01-24,3.9658811500,4.0394596500,3.8275535700,3.9599948700,900618
1997-01-27,3.8996605000,3.9658811500,3.8731722400,3.9232056200,242119
1997-01-28,3.9232056200,3.9438076000,3.8040084500,3.8143094400,298745
1997-01-29,3.7525035000,3.8113663000,3.7009985500,3.7642760600,766540
1997-01-30,3.7083564000,3.8260820000,3.7083564000,3.7201289600,819820
1997-01-31,3.7201289600,3.7201289600,3.7201289600,3.7201289600,0
1997-02-17,3.8378545600,3.8996605000,3.6568514500,3.8908310800,3101580
1997-02-18,3.8702291000,3.8702291000,3.5023366000,3.8702291000,1238661
1997-02-19,3.6494936000,3.8201957200,3.5435405600,3.7995937400,791691
1997-02-20,3.4199286800,3.6936407000,3.4199286800,3.6906975600,1848472
1997-02-21,3.5553131200,3.7525035000,3.5553131200,3.7068848300,736630
1997-02-24,3.7157142500,3.7495603600,3.5317680000,3.6803965700,610719
1997-02-25,3.6936407000,3.8260820000,3.6436073200,3.7451456500,863640
1997-02-26,3.7966506000,3.8054800200,3.6980554100,3.7760486200,531269
1997-02-27,3.7892927500,3.7892927500,3.7112995400,3.7480887900,232650
1997-02-28,3.7525035000,3.7789917600,3.6877544200,3.7569182100,332000
