time,price,signal
2002-02-05 00:00:00,417.98,buy
2002-02-06 00:00:00,410.52,buy
2002-02-07 00:00:00,411.83,buy
2002-04-12 00:00:00,439.44,buy
2002-04-15 00:00:00,428.43,buy
2002-04-16 00:00:00,448.87,buy
2002-04-23 00:00:00,424.51,buy
2002-04-26 00:00:00,401.66,buy
2002-04-29 00:00:00,400.07,buy
2002-07-23 00:00:00,251.91,buy
2002-07-24 00:00:00,276.08,buy
2003-02-05 00:00:00,336.5,buy
2003-03-24 00:00:00,357.0,sell
2003-06-04 00:00:00,430.2,sell
2003-06-05 00:00:00,435.0,sell
2003-06-06 00:00:00,436.9,sell
2003-07-15 00:00:00,468.3,sell
2003-08-04 00:00:00,438.7,buy
2003-09-19 00:00:00,469.9,sell
2003-09-22 00:00:00,463.8,sell
2003-09-24 00:00:00,465.3,sell
2004-01-06 00:00:00,498.4,sell
2004-01-07 00:00:00,499.1,sell
2004-01-08 00:00:00,501.2,sell
2004-05-11 00:00:00,456.9,buy
2004-05-12 00:00:00,463.1,buy
2004-06-08 00:00:00,476.0,sell
2004-07-07 00:00:00,456.3,buy
2004-07-09 00:00:00,450.3,buy
2004-07-19 00:00:00,439.9,buy
2004-09-24 00:00:00,441.5,buy
2004-09-27 00:00:00,436.1,buy
2004-09-28 00:00:00,443.1,buy
2004-10-22 00:00:00,425.6,buy
2004-10-25 00:00:00,425.8,buy
2004-10-26 00:00:00,433.4,buy
2004-12-23 00:00:00,487.5,sell
2004-12-27 00:00:00,483.1,sell
2007-03-20 00:00:00,50.64,buy
2007-03-21 00:00:00,52.03,buy
2007-03-22 00:00:00,51.84,buy
2007-04-23 00:00:00,53.11,sell
2007-07-27 00:00:00,46.97,buy
2007-07-30 00:00:00,47.19,buy
2007-07-31 00:00:00,46.57,buy
2007-08-01 00:00:00,46.85,buy
2007-10-22 00:00:00,42.61,buy
2007-10-23 00:00:00,42.44,buy
2007-11-02 00:00:00,37.73,buy
2007-11-06 00:00:00,35.08,buy
2007-11-07 00:00:00,33.41,buy
2007-11-08 00:00:00,32.9,buy
2008-01-17 00:00:00,24.96,buy
2008-01-18 00:00:00,24.45,buy
2008-01-22 00:00:00,24.4,buy
2008-03-04 00:00:00,22.1,buy
2008-03-05 00:00:00,22.15,buy
2008-03-06 00:00:00,21.17,buy
2008-03-07 00:00:00,20.91,buy
2008-03-10 00:00:00,19.69,buy
2008-03-11 00:00:00,21.49,buy
2008-04-29 00:00:00,26.32,sell
2008-05-22 00:00:00,21.72,buy
2008-06-10 00:00:00,20.26,buy
2008-07-01 00:00:00,17.13,buy
2008-11-20 00:00:00,4.71,buy
2008-11-21 00:00:00,3.77,buy
2008-11-24 00:00:00,5.95,buy
2009-01-16 00:00:00,3.5,buy
2009-01-20 00:00:00,2.8,buy
2009-01-21 00:00:00,3.67,buy
2009-02-19 00:00:00,2.51,buy
2009-02-20 00:00:00,1.95,buy
2009-02-23 00:00:00,2.14,buy
2009-02-24 00:00:00,2.6,buy
2009-03-02 00:00:00,1.2,buy
2009-03-03 00:00:00,1.22,buy
2009-06-17 00:00:00,3.08,buy
2009-06-18 00:00:00,3.13,buy
2009-08-07 00:00:00,3.85,sell
2009-08-10 00:00:00,3.94,sell
2009-08-11 00:00:00,3.69,sell
2009-10-15 00:00:00,4.75,sell
2009-10-29 00:00:00,4.31,buy
2009-12-09 00:00:00,3.83,buy
2009-12-10 00:00:00,3.86,buy
2009-12-15 00:00:00,3.54,buy
