time,price,signal
1974-09-25 00:00:00,14.75,buy
1975-06-27 00:00:00,24.25,sell
1976-06-03 00:00:00,13.75,buy
1977-05-06 00:00:00,12.88,buy
1977-11-28 00:00:00,19.37,sell
1979-07-09 00:00:00,24.62,buy
1979-11-30 00:00:00,35.0,sell
1980-06-20 00:00:00,37.75,sell
1980-07-23 00:00:00,41.88,sell
1982-07-01 00:00:00,52.0,sell
1983-04-22 00:00:00,61.75,sell
1984-01-30 00:00:00,34.0,buy
1984-12-12 00:00:00,39.38,buy
1985-05-29 00:00:00,51.5,sell
1986-04-23 00:00:00,41.75,sell
1986-09-19 00:00:00,42.38,buy
1986-12-08 00:00:00,48.25,sell
1987-12-08 00:00:00,23.12,buy
1988-05-11 00:00:00,26.12,buy
1989-02-03 00:00:00,33.5,sell
1989-05-24 00:00:00,38.5,sell
1989-09-22 00:00:00,39.88,buy
1990-10-19 00:00:00,27.75,buy
1991-08-12 00:00:00,49.13,sell
1991-12-12 00:00:00,51.75,sell
1993-06-15 00:00:00,26.5,buy
1993-11-22 00:00:00,29.62,sell
1994-10-03 00:00:00,23.25,buy
1995-01-05 00:00:00,21.87,buy
1996-01-23 00:00:00,20.37,buy
1996-12-23 00:00:00,23.5,buy
1997-05-19 00:00:00,30.5,sell
1997-06-20 00:00:00,33.75,sell
1997-07-30 00:00:00,37.88,sell
1998-07-22 00:00:00,67.06,sell
1998-12-01 00:00:00,74.87,sell
1998-12-31 00:00:00,81.44,sell
1999-08-06 00:00:00,41.25,buy
2000-03-01 00:00:00,49.0,buy
2000-10-06 00:00:00,45.5,buy
2001-03-26 00:00:00,49.6,buy
2001-07-10 00:00:00,47.5,buy
2002-06-06 00:00:00,54.1,buy
2002-12-17 00:00:00,50.94,buy
2003-01-30 00:00:00,47.57,buy
2004-04-16 00:00:00,58.44,buy
2007-04-02 00:00:00,47.4,buy
2007-05-29 00:00:00,46.94,buy
2007-08-03 00:00:00,45.52,buy
2007-12-12 00:00:00,48.23,sell
2010-12-29 00:00:00,54.08,buy
2012-07-19 00:00:00,71.53,sell
2013-01-02 00:00:00,69.24,buy
2013-04-11 00:00:00,77.79,sell
2013-09-03 00:00:00,72.68,buy
2013-10-09 00:00:00,73.0,buy
2013-10-31 00:00:00,76.75,sell
2013-12-05 00:00:00,79.44,sell
2014-01-31 00:00:00,74.68,buy
2014-05-05 00:00:00,78.62,sell
2014-06-23 00:00:00,75.79,buy
2015-04-23 00:00:00,79.18,buy
2015-07-31 00:00:00,71.98,buy
2015-10-30 00:00:00,57.24,buy
2016-01-11 00:00:00,64.22,sell
2017-04-17 00:00:00,73.49,sell
2018-05-15 00:00:00,84.52,buy
2019-07-18 00:00:00,114.72,sell
2022-02-01 00:00:00,140.91,buy
2022-04-12 00:00:00,153.23,sell
2022-11-30 00:00:00,152.42,sell
2023-06-20 00:00:00,154.16,sell
2024-07-22 00:00:00,70.38,sell
2025-02-10 00:00:00,102.92,sell
