time,open,high,low,close,volume
2007-09-17,105.5,109.0,105.38,108.63,407800.0
2007-09-18,109.5,112.4,105.46,111.8,863200.0
2007-09-19,112.5,115.27,112.25,112.88,483200.0
2007-09-20,112.88,114.0,110.25,110.84,295200.0
2007-09-21,112.0,114.96,111.57,113.9,441800.0
2007-09-24,114.99,118.45,113.25,114.49,765300.0
2007-09-25,114.0,115.18,112.77,114.65,346400.0
2007-09-26,116.0,118.0,114.93,117.09,539500.0
2007-09-27,117.83,119.97,116.88,119.26,273300.0
2007-09-28,116.73,119.89,116.72,118.13,539500.0
2007-10-01,117.61,123.25,117.61,122.51,573500.0
2007-10-02,121.09,127.26,120.62,124.27,749200.0
2007-10-03,123.9,126.7,123.52,125.82,584600.0
2007-10-04,126.95,126.95,122.88,123.76,387700.0
2007-10-05,124.9,128.57,124.5,127.54,326900.0
2007-10-08,125.57,130.0,124.76,129.8,400600.0
2007-10-09,129.81,130.01,127.1,129.52,482900.0
2007-10-10,128.11,132.25,128.11,131.8,382500.0
2007-10-11,133.0,133.63,127.5,129.0,486800.0
2007-10-12,124.33,125.79,113.51,122.68,1056900.0
2007-10-15,120.83,122.43,120.39,121.86,466300.0
2007-10-16,121.0,124.84,120.63,122.99,346500.0
2007-10-17,123.35,126.0,122.39,123.12,308000.0
2007-10-18,122.55,126.5,122.55,126.1,308600.0
2007-10-19,127.05,127.88,122.94,123.4,353600.0
2007-10-22,122.0,125.95,121.01,124.94,294700.0
2007-10-23,125.99,127.28,124.01,127.13,251000.0
2007-10-24,127.35,127.35,122.09,123.55,274200.0
2007-10-25,127.53,129.91,126.8,128.57,1198700.0
2007-10-26,129.95,134.3,129.45,133.95,4341000.0
2007-10-29,134.01,135.0,132.0,134.41,879900.0
2007-10-30,134.8,136.47,132.5,133.5,1269600.0
2007-10-31,137.85,141.3,132.4,139.0,1499200.0
2007-11-01,137.89,138.75,133.33,135.69,757600.0
2007-11-02,135.4,136.0,129.21,131.68,720000.0
2007-11-05,131.0,131.68,129.57,130.92,600370.0
2007-11-06,132.0,133.01,130.0,131.88,528346.0
2007-11-07,131.8,134.0,130.0,131.2,670263.0
2007-11-08,131.81,132.95,123.51,127.43,1100582.0
2007-11-09,124.0,126.32,121.52,121.6,713989.0
2007-11-12,119.93,125.11,116.31,117.12,574120.0
2007-11-13,117.66,126.99,117.66,126.45,649204.0
