time,price,signal
2011-12-15 00:00:00,1.454,buy
2011-12-16 00:00:00,1.47,buy
2012-01-05 00:00:00,1.561,sell
2012-01-06 00:00:00,1.55,sell
2012-01-10 00:00:00,1.587,sell
2012-01-11 00:00:00,1.571,sell
2012-03-30 00:00:00,1.523,buy
2012-04-25 00:00:00,1.603,sell
2012-05-03 00:00:00,1.635,sell
2012-09-21 00:00:00,1.468,buy
2012-09-24 00:00:00,1.463,buy
2012-09-25 00:00:00,1.452,buy
2012-09-26 00:00:00,1.452,buy
2012-11-09 00:00:00,1.452,buy
2012-12-10 00:00:00,1.513,sell
2012-12-11 00:00:00,1.519,sell
2012-12-12 00:00:00,1.53,sell
2012-12-13 00:00:00,1.513,sell
2012-12-17 00:00:00,1.613,sell
2012-12-18 00:00:00,1.63,sell
2012-12-19 00:00:00,1.63,sell
2013-01-28 00:00:00,1.943,sell
2013-01-29 00:00:00,1.948,sell
2013-01-30 00:00:00,1.932,sell
2013-06-13 00:00:00,1.651,buy
2013-06-14 00:00:00,1.668,buy
2013-06-17 00:00:00,1.702,buy
2013-06-25 00:00:00,1.571,buy
2013-06-26 00:00:00,1.549,buy
2013-06-27 00:00:00,1.571,buy
2013-09-10 00:00:00,1.662,sell
2013-09-11 00:00:00,1.657,sell
2013-09-13 00:00:00,1.697,sell
2013-12-20 00:00:00,1.52,buy
2013-12-23 00:00:00,1.531,buy
2013-12-24 00:00:00,1.52,buy
2013-12-25 00:00:00,1.514,buy
2013-12-27 00:00:00,1.503,buy
2014-06-17 00:00:00,1.452,sell
2014-07-25 00:00:00,1.518,sell
2014-07-28 00:00:00,1.586,sell
2014-07-29 00:00:00,1.604,sell
2014-07-30 00:00:00,1.579,sell
2014-08-05 00:00:00,1.683,sell
2014-08-29 00:00:00,1.628,buy
2014-10-24 00:00:00,1.616,buy
2014-10-28 00:00:00,1.616,buy
2014-11-03 00:00:00,1.787,sell
2014-11-12 00:00:00,1.884,sell
2014-11-27 00:00:00,2.104,sell
2014-11-28 00:00:00,2.317,sell
2014-12-01 00:00:00,2.384,sell
2014-12-02 00:00:00,2.561,sell
2014-12-03 00:00:00,2.439,sell
2014-12-05 00:00:00,2.58,sell
2015-03-19 00:00:00,2.866,sell
2015-04-14 00:00:00,3.323,sell
2015-06-05 00:00:00,3.74,sell
2015-06-08 00:00:00,4.024,sell
2015-06-09 00:00:00,3.942,sell
2015-07-28 00:00:00,2.958,buy
2015-08-24 00:00:00,2.334,buy
2015-08-25 00:00:00,2.106,buy
2015-08-26 00:00:00,2.195,buy
2015-08-27 00:00:00,2.39,buy
2015-09-30 00:00:00,2.447,buy
2015-10-08 00:00:00,2.485,buy
2015-11-10 00:00:00,2.914,sell
2016-01-12 00:00:00,2.447,buy
2016-05-10 00:00:00,2.239,buy
2016-05-11 00:00:00,2.252,buy
2016-06-01 00:00:00,2.334,sell
2016-06-02 00:00:00,2.321,sell
2016-06-06 00:00:00,2.334,sell
2016-07-04 00:00:00,2.409,sell
2016-07-05 00:00:00,2.397,sell
2016-07-18 00:00:00,2.566,sell
2016-07-19 00:00:00,2.533,sell
2016-08-16 00:00:00,2.732,sell
2016-08-17 00:00:00,2.685,sell
2016-09-13 00:00:00,2.506,buy
2016-09-19 00:00:00,2.499,buy
2016-11-23 00:00:00,2.678,sell
2016-11-24 00:00:00,2.698,sell
2016-11-25 00:00:00,2.745,sell
2016-11-28 00:00:00,2.751,sell
2016-11-29 00:00:00,2.758,sell
2017-01-19 00:00:00,2.639,sell
2017-01-26 00:00:00,2.705,sell
2017-02-03 00:00:00,2.672,sell
2017-04-19 00:00:00,2.572,buy
2017-04-20 00:00:00,2.566,buy
2017-04-21 00:00:00,2.579,buy
2017-07-12 00:00:00,2.767,sell
2017-07-13 00:00:00,2.801,sell
2017-07-14 00:00:00,2.842,sell
2017-07-17 00:00:00,2.944,sell
2017-07-18 00:00:00,2.923,sell
2017-07-19 00:00:00,2.923,sell
2017-08-11 00:00:00,2.787,buy
2017-08-14 00:00:00,2.767,buy
2017-08-15 00:00:00,2.781,buy
2017-11-23 00:00:00,2.842,sell
2018-01-16 00:00:00,2.862,sell
2018-01-17 00:00:00,2.903,sell
2018-01-18 00:00:00,2.944,sell
2018-01-19 00:00:00,3.019,sell
2018-01-22 00:00:00,3.046,sell
2018-01-23 00:00:00,3.263,sell
2018-01-24 00:00:00,3.263,sell
2018-01-25 00:00:00,3.25,sell
2018-01-26 00:00:00,3.27,sell
2018-03-27 00:00:00,2.76,buy
2018-03-28 00:00:00,2.76,buy
2018-03-29 00:00:00,2.787,buy
2018-05-31 00:00:00,2.699,buy
2018-06-11 00:00:00,2.645,buy
2018-06-26 00:00:00,2.515,buy
2018-06-27 00:00:00,2.475,buy
2018-06-28 00:00:00,2.461,buy
2018-06-29 00:00:00,2.488,buy
2018-07-03 00:00:00,2.4,buy
2018-07-24 00:00:00,2.604,sell
2018-07-25 00:00:00,2.611,sell
2018-07-26 00:00:00,2.577,sell
2018-08-20 00:00:00,2.498,buy
2018-09-25 00:00:00,2.784,sell
2018-12-24 00:00:00,2.598,buy
2018-12-25 00:00:00,2.591,buy
